Name,Min_CPU_Speed,Recommended_CPU_Speed,Min_GPU_Memory,Recommended_GPU_Memory,Min_RAM,Recommended_RAM,Min_OS,Recommended_OS,Min_Storage,Recommended_Storage,Release_Date
Primordia,1.1,2.03,128,640,1 GB,1 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,12/5/2012
Primal Carnage,2.45,2.88,384,768,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,17 GB,17 GB,10/29/2012
NaissanceE,2.5,2.6,576,768,4 GB,8 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,3 GB,2/13/2014
Sunken,3.265,3.3,1024,2048,4 GB,4 GB,Windows 7 64-bit,Windows 8 64-bit,2 GB,2 GB,12/3/2015
Pro Cycling Manager 2012,2.6,2,384,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,5 GB,5 GB,6/21/2012
Pride of Nations: The Scramble for Africa,1.665,,512,,1 GB,0,Windows XP 32-bit,0,0MB,0,10/4/2012
Motorcycle Club,,,,,0,0,0,0,0,0,11/28/2014
Montas,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/24/2014
Monochroma,1.73,2.1,256,320,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,4 GB,4 GB,5/28/2014
Monkey Poo Flinger,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/25/2014
Sword Coast Legends,2.88,3.3,512,2048,4 GB,8 GB,Windows XP 32-bit,Windows 7 64-bit,20 GB,20 GB,10/20/2015
Super Snow Fight,2.35,3.3,256,1024,2 GB,4 GB,Windows 7 32-bit,Windows 7 32-bit,1 GB,1 GB,11/24/2015
Strife,2.35,3.23,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,6 GB,6 GB,1/1/2015
Mitsurugi Kamui Hikae,,,,,0,0,0,0,0,0,3/10/2014
Morphopolis,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,8/14/2014
Stranded in Time,,,,,0,0,0,0,0,0,2/17/2015
Moebius The Game,1.73,2.1,320,640,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,0,0,4/15/2014
Stellar Dawn,,,,,0,0,0,0,0,0,1/1/2016
Stonehearth,2.35,3.18,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,1/1/2015
Stupid Llama,1.63,1.98,320,288,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,2/5/2015
Stealth Inc 2,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,4/7/2015
Steel Ocean,3.45,,1024,1024,2 GB,4 GB,Windows XP 32-bit,Windows Vista 64-bit,6 GB,6 GB,11/12/2015
Planets Under Attack,1.415,1.85,192,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/27/2012
Port Royale 3,2.4,2.3,192,256,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,3 GB,3 GB,5/4/2012
POP: Methodology Experiment One,,,,,0,0,0,0,0,0,5/10/2012
Police Simulator 2,,,,,0,0,0,0,0,0,3/14/2012
Pineapple Smash Crew,1.8,,192,,1 GB,0,Windows XP 32-bit,0,0MB,0,2/2/2012
Mission Control: NanoMech,,,,,0,0,0,0,0,0,12/17/2014
Stranded Deep,1.98,3.2,512,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,1 GB,1 GB,1/23/2015
Pirates of New Horizons: Planet Buster,1.83,,128,,0MB,0,Windows XP 32-bit,0,0MB,0,2/7/2012
MotoGP 14,3.1,3.38,1024,3584,2 GB,4 GB,Windows 7 64-bit,Windows 7 64-bit,18 GB,18 GB,6/20/2014
Mirths Magical Quest,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/30/2014
Pole Position 2012,1.95,2.615,256,640,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,4/20/2012
MINIDAYZ,,,,,0,0,0,0,0,0,11/20/2014
Minimum,1.83,2.1,256,1024,1 GB,8 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/12/2014
Mini Motorways,2.5,3.2,768,1536,2 GB,4 GB,Windows 7 64-bit,Windows 7 64-bit,1 GB,1 GB,7/20/2021
Stay Dead Evolution,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/4/2015
Stasis,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,8/31/2015
Starlaxis: Rise of The Light Hunters Super Nova Edition,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/11/2015
Starless: Nymphomaniacs Paradise,,,,,0,0,0,0,0,0,3/10/2015
Mini Metro,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,8/11/2014
Mining & Tunneling Simulator,2.1165,2.58,256,1536,2 GB,4 GB,Windows XP 32-bit,Windows Vista 64-bit,1 GB,1 GB,3/5/2014
State of Decay: YOSE Day One Edition,2.63,3.23,1152,1024,4 GB,8 GB,Windows 7 32-bit,Windows 7 64-bit,4.158 GB,4.2 GB,4/27/2015
Pinball FX 2,,,,,0,0,0,0,0,0,2/29/2012
Stardust Vanguards,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/30/2015
Starwhal,,,,,0,0,0,0,0,0,2/24/2015
Pid,2.03,1.75,256,896,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,10/31/2012
Phantasy Star IV: The End of the Millennium,,,,,0,0,0,0,0,0,5/3/2012
Phantasy Star III: Generations of Doom,,,,,0,0,0,0,0,0,5/3/2012
Phantasy Star II,,,,,0,0,0,0,0,0,5/3/2012
Perspective,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/12/2012
Miscreated,2.75,3.6,1024,2560,4 GB,6 GB,Windows 7 64-bit,Windows 7 64-bit,20 GB,20 GB,10/30/2014
Metro: Last Light Redux,2.4,3.2,512,1792,2 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,10 GB,10 GB,8/27/2014
Middle-earth: Shadow of Mordor,3.03,3.7,1024,2560,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,25 GB,40 GB,9/30/2014
Planetside 2,2.6,2.965,512,1024,4 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,15 GB,15 GB,11/20/2012
Stardust Galaxy Warriors,2.4,2.815,512,512,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,1 GB,1 GB,11/10/2015
Metro Redux,2.4,3.2,512,1792,2 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,10 GB,10 GB,8/27/2014
Metro 2033 Redux,2.4,3.2,512,1792,2 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,10 GB,10 GB,8/27/2014
Might and Magic X Legacy,2.68,2.4,512,960,4 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,1/23/2014
Phantasy Star Online 2,2.18,3.23,128,1024,1.5 GB,3 GB,Windows XP 32-bit,Windows 7 64-bit,8 GB,8 GB,8/5/2020
Middle-Earth: Shadow of Mordor - Power of Defiance,3.03,3.7,1024,2560,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,25 GB,40 GB,11/21/2014
Mind: Path to Thalamus,1.95,3.65,256,2048,2 GB,4 GB,Windows XP 32-bit,0,2 GB,2 GB,8/5/2014
StarCrawlers,,,,,0,0,0,0,0,0,3/17/2015
Middle-Earth: Shadow of Mordor - Lord of the Hunt,3.03,3.7,1024,2560,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,25 GB,40 GB,12/16/2014
Pax Regalia: Triage,,,,,0,0,0,0,0,0,2/27/2012
Patchwork Battles,,,,,0,0,0,0,0,0,6/30/2012
Passion Leads Army,,,,,0,0,0,0,0,0,9/17/2012
Party of Sin,2.35,3.115,128,1024,1 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,0MB,12/13/2012
Perennial,1.6,,32,,0MB,0,Windows XP 32-bit,0,0MB,0,12/1/2012
Paranormal,2.35,2.865,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,1 GB,1 GB,10/19/2012
Memento Mori 2,1,,256,,1 GB,0,Windows XP 32-bit,0,2 GB,0,5/13/2014
Pearl Harbor: Fire on the Water,2.63,,64,,1 GB,0,Windows XP 32-bit,0,1 GB,0,4/13/2012
Might & Magic X Legacy - The Falcon & The Unicorn,2.68,2.4,512,960,4 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,5 GB,5 GB,3/27/2014
Meltdown,1.8,2.75,128,512,1 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,1 GB,6/5/2014
Metal Gear Solid: Ground Zeroes,3.35,3.45,1024,2560,4 GB,8 GB,Windows Vista 64-bit,Windows 7 64-bit,4 GB,4 GB,12/18/2014
Star Wars: Battlefront,3.75,3.7,2048,4096,8 GB,16 GB,Windows 7 64-bit,Windows 10 64-bit,40 GB,40 GB,11/20/2015
Penny Arcade - Precipice of Darkness episode three,1.5,2.8,128,0,1 GB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/25/2012
Star Wars: BattleCry,2.35,3.23,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,2 GB,2 GB,1/1/2015
Men of War: Assault Squad 2,2.3,2.515,128,256,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,6 GB,6 GB,2/25/2014
Star Wars: The Old Republic: Knights of the Fallen Empire,2.5,2.9665,256,1024,1 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,15 GB,15 GB,10/27/2015
Stairs,2.5,3.2,512,768,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,4 GB,4 GB,9/28/2015
StarCraft II: Legacy of the Void,2.43,2.28,768,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,12 GB,12 GB,11/10/2015
Spookys Jump Scare Mansion,,,,,0,0,0,0,0,0,7/28/2015
Spongebob HeroPants,,,,,0,0,0,0,0,0,3/1/2015
SpyParty,1.5,,256,,0MB,0,0,0,0MB,0,1/1/2015
SpinPong,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/3/2015
Spooky Cats,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/31/2015
StarDrive 2,2.5,3.7,768,2048,4 GB,8 GB,Windows Vista 64-bit,Windows 7 64-bit,3 GB,3 GB,4/9/2015
Mechanic Escape,1.365,2.1,384,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,4/15/2014
Panzer Corps: Afrika Korps,1.665,2.7,256,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/31/2012
Palm Heroes 2 Deluxe,,,,,0,0,0,0,0,0,3/25/2012
Squad,3.4,4.15,2048,7168,8 GB,16 GB,Windows 7 64-bit,Windows 10 64-bit,55 GB,55 GB,12/15/2015
Star Wars: Battlefront - Rogue One: Scarif,3.75,3.7,2048,4096,8 GB,16 GB,Windows 7 64-bit,Windows 10 64-bit,40 GB,40 GB,11/20/2015
Star Ruler 2,1.6,3.115,512,1024,1 GB,2 GB,Windows Vista 32-bit,Windows 7 64-bit,0MB,0MB,3/27/2015
Mecha Ace,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/13/2014
Painkiller: Recurring Evil,2.6835,2.6,192,384,0MB,1.5 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,2/29/2012
Melodys escape,1.95,3.23,128,512,1 GB,2 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,1 GB,2/26/2014
Melissa K. and the Heart of Gold,,,,,0,0,0,0,0,0,9/19/2014
Star Nomad 2,2.5,3.2,384,1536,4 GB,8 GB,Windows 7 32-bit,Windows 7 64-bit,0MB,0MB,12/14/2015
Matador,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,1/1/2014
Spinner: The Game,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/18/2015
Spellsworn,3,3.2,256,2048,4 GB,4 GB,Windows 7 64-bit,Windows 7 64-bit,3 GB,3 GB,10/31/2015
Spacies,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/9/2015
Space Sleuth,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/9/2015
Space Shock,1.63,1.95,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,1/1/2015
Out There Somewhere,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,0,2/21/2012
Outernauts,2.2465,,192,,1 GB,0,Windows XP 32-bit,0,0MB,0,7/24/2012
Out Of The Park Baseball 13,1.1,2.5835,128,192,0MB,0MB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,4/9/2012
Orion: Dino Beatdown,2.05,2.215,128,768,2 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,8 GB,8 GB,5/4/2012
McDroid,2.35,3.23,384,2048,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,1 GB,1 GB,6/27/2014
Malevolence: The Sword of Ahkranox,1.95,2.58,384,512,2 GB,8 GB,Windows XP 32-bit,0,2 GB,2 GB,5/9/2014
Orion: Prelude,2.5,3.2,768,2048,3 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,8 GB,8 GB,5/4/2012
Marvel Heroes 2015,2.5,3.4,512,2048,3 GB,8 GB,Windows Vista 32-bit,Windows 7 64-bit,15 GB,30 GB,6/4/2014
Making History: The Great War,1.63,2.1,320,640,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,7/28/2014
Malebolgia,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/4/2014
Space Noir,2.25,2.9,128,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,4 GB,4 GB,1/1/2015
Major Mayhem,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/24/2014
Orcs Must Die 2: Fire and Water,,,,,0,0,0,0,0,0,8/29/2012
MagNets,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/5/2014
Space Beast Terror Fright,3,3.2,320,2048,2 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,0MB,0MB,4/6/2015
Song of the Myrne: What Lies Beneath,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/13/2015
Orbitron: Revolution,1.85,,512,,2 GB,0,Windows XP 32-bit,0,0MB,0,2/25/2012
Orcs Must Die 2: Family Ties,,,,,0,0,0,0,0,0,9/26/2012
SoundSelf,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/1/2015
Sound of Drop - fall into poison,1.63,2.4165,320,256,0MB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0,10/30/2015
Oniken,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/1/2012
Omegalodon,1.7,2.61,96,192,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/1/2012
Magicmaker,,,,,0,0,0,0,0,0,9/22/2014
Magicka: Wizard Wars,3.05,2.65,640,768,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,4/28/2014
Magicite,,,,,0,0,0,0,0,0,6/9/2014
Oil Rush,1.83,2.7,256,768,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,1/25/2012
Offspring Fling!,,,,,0,0,0,0,0,0,5/11/2012
Luftrausers,1.7,,192,,1 GB,0,Windows XP 32-bit,0,0MB,0,3/18/2014
Orcs Must Die 2,2.05,2.78,128,320,2 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,9 GB,9 GB,7/30/2012
Lunas Wandering Stars,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/25/2014
Soccer Manager 2016,1.48,2.1,192,640,1 GB,2 GB,Windows XP 32-bit,Windows 7 32-bit,3 GB,3 GB,10/7/2015
Solar Shifter EX,2.1665,2.1,384,704,2 GB,3 GB,Windows Vista 32-bit,Windows Vista 32-bit,4 GB,4 GB,9/11/2015
Social Justice Warriors,,,,,0,0,0,0,0,0,2/27/2015
Soma,2.75,3.25,960,1792,4 GB,8 GB,Windows 7 64-bit,Windows 7 64-bit,25 GB,25 GB,9/22/2015
Solarix,2.5,3.2,768,2048,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,3 GB,3 GB,4/30/2015
Sky Battles,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/15/2015
Skyhook,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/14/2015
Skyforge,2.2,3.15,512,704,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,20 GB,20 GB,7/16/2015
Magic: The Gathering - Duels Of The Planeswalkers 2015,1.83,1.75,512,384,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1.5 GB,1.5 GB,7/16/2014
Offensive Combat,,,,,0,0,0,0,0,0,9/27/2012
Nitronic Rush,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,5/28/2012
Ninjah,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/20/2012
Skyworld,2.915,2.95,1536,2048,2 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,15 GB,15 GB,11/1/2015
SkyScrappers,2.25,3.2,512,1536,1 GB,2 GB,Windows 7 32-bit,Windows 7 32-bit,1.2 GB,1.2 GB,10/15/2015
Nights into Dreams....,2.6835,2.3,256,768,1 GB,2 GB,Windows XP 32-bit,Windows 7 32-bit,4 GB,4 GB,12/17/2012
Nights into Dreams HD,,,,,0,0,0,0,0,0,12/17/2012
Of Orcs And Men,1.85,3.18,448,512,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,6 GB,6 GB,10/11/2012
Lords of Xulima,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/14/2014
Lonely World,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,10/16/2014
Loadout,1.85,2.13,320,256,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,4 GB,4 GB,1/31/2014
Skyhill,2.2,2.4,384,1024,4 GB,6 GB,Windows XP 64-bit,Windows 7 64-bit,1.3 GB,1.3 GB,10/6/2015
Signal to Noise,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/20/2015
Silent Enemy,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,1/1/2015
Logic Bots,,,,,0,0,0,0,0,0,9/22/2014
Shroud Of The Avatar: Forsaken Virtues,,,,,0,0,0,0,0,0,1/1/2015
Six Sense Horror Game,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/5/2015
SimplePlanes,2.5,2.9,768,2048,2 GB,4 GB,Windows Vista 32-bit,Windows 7 32-bit,0MB,1 GB,12/17/2015
Shutter,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/30/2015
Shoppy Mart,1.25,1.53,192,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/25/2015
Orcs Must Die 3,2.95,3.7,2048,5632,6 GB,8 GB,Windows 7 64-bit,Windows 10 64-bit,12 GB,12 GB,7/23/2021
Lords Of The Fallen,2.83,3.75,1024,1536,6 GB,8 GB,Windows Vista 64-bit,Windows 7 64-bit,25 GB,25 GB,10/31/2014
Nexuiz,2.05,3.1,384,512,2 GB,3 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,5/10/2012
New Yankee in King Arthurs Court,,,,,0,0,0,0,0,0,3/30/2012
New Super Mario Forever 2012,1.1,,64,,0MB,0,Windows XP 32-bit,0,0MB,0,12/23/2012
Little Racers STREET,2.35,2.065,128,896,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,200 GB,250 GB,2/6/2014
Nightmares from the Deep: The Cursed Heart,1.75,1.83,320,256,0MB,1 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,4/19/2012
LISA,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,12/15/2014
Need For Speed: Most Wanted 2 Ultimate Speed,2.6,2.165,256,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,2 GB,2 GB,12/18/2012
Neo Scavenger,1.63,1.95,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,1 GB,1 GB,8/29/2012
Need For Speed: Most Wanted 2 Time Saver,2.6,2.165,256,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,1 GB,1 GB,10/30/2012
Sid Meiers Starships,1.9,1.9,384,1536,2 GB,6 GB,Windows Vista 32-bit,Windows 8 64-bit,0MB,8 GB,3/12/2015
Lifeless Planet,2.55,2.965,512,1024,1.5 GB,3 GB,Windows XP 32-bit,Windows 7 64-bit,0MB,0MB,6/6/2014
Line Of Defense Tactics,2.05,2.8,1024,,2 GB,6 GB,Windows 7 32-bit,Windows 7 64-bit,0MB,0MB,2/11/2014
Shmup Love Boom,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,3 GB,3 GB,9/18/2015
Shiver: The Lilys Requiem Collectors Edition,,,,,0,0,0,0,0,0,2/1/2015
Lili: Child of Geos,,,,,0,0,0,0,0,0,5/9/2014
Light,1.95,,128,,2 GB,0,Windows XP 32-bit,0,1 GB,0,7/14/2014
Shelter 2,2.33,1.95,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,3/9/2015
Shadow of The Five,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/8/2015
ShellShock Live,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/11/2015
Shadowrun: Hong Kong,1.3,1.85,384,384,2 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,2 GB,2 GB,8/20/2015
Shadow of the Eternals,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,4 GB,4 GB,1/1/2015
Shadow Ninja: Apocalypse,1.63,2.5665,320,640,1 GB,2 GB,Windows XP 32-bit,Windows 7 32-bit,0MB,0MB,9/22/2015
Need For Speed: Most Wanted 2,2.6,2.165,256,1536,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,20 GB,20 GB,11/2/2012
Naval War Arctic Circle,1.95,2.215,768,1024,2 GB,4 GB,Windows Vista 32-bit,Windows 7 64-bit,4 GB,4 GB,4/10/2012
Natural Threat: Ominous Shores,,,,,0,0,0,0,0,0,4/6/2012
Shadows Peak,2.25,2.73,1152,2048,2 GB,4 GB,Windows XP 32-bit,Windows XP 64-bit,2 GB,2 GB,1/1/2015
Life After Us: The System,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,6/20/2014
Life After Us: Fading Light,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/16/2014
Lets Sing,1.9,3.23,256,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,4 GB,4 GB,2/13/2014
Lego: The Hobbit,2,2.78,384,1280,2 GB,4 GB,Windows XP 32-bit,Windows XP 64-bit,10 GB,10 GB,4/8/2014
Letter Quest: Grimms Journey,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,11/20/2014
Shadow Complex Remastered,2.25,3.5,512,1024,2 GB,4 GB,Windows 7 32-bit,Windows 8 32-bit,2 GB,2 GB,12/3/2015
NBA 2K13,2.2,2.6,384,768,2 GB,3 GB,Windows XP 32-bit,Windows 7 64-bit,7 GB,7 GB,10/2/2012
Servo,2.5,2.45,416,1024,2 GB,4 GB,Windows XP 32-bit,Windows 7 64-bit,10 GB,10 GB,5/28/2015
Sector Six,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,2/4/2015
Secret Shop,,,,,0,0,0,0,0,0,11/1/2015
Seas of Scred,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,1/30/2015
Search for the Golden Gorilla,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,2/11/2015
ScreamRide,2.65,2.8,1024,1024,2 GB,6 GB,Windows XP 32-bit,Windows 7 64-bit,0,0,3/3/2015
Lego Batman 3: Beyond Gotham,1.9,3.08,384,1280,2 GB,4 GB,Windows XP 32-bit,Windows XP 64-bit,10 GB,10 GB,11/14/2014
Scourge of War: Waterloo,1.95,3.2,320,2048,2 GB,4 GB,Windows XP 32-bit,Windows 7 32-bit,0MB,0MB,11/19/2015
Schar: Blue Shield,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,3/3/2015
Savage Lands,2,2.9,1024,1024,4 GB,4 GB,Windows 7 32-bit,Windows 7 64-bit,2 GB,2 GB,3/5/2015
Napoleon: Total War - Imperial Eagle Pack,2.53,2.78,256,256,1 GB,4 GB,Windows XP 32-bit,0,15 GB,15 GB,5/18/2012
Napoleon: Total War - Heroes of the Napoleonic Wars,,,,,0,0,0,0,0,0,6/18/2012
Nancy Drew: Tomb of the Lost Queen,,,,,0,0,0,0,0,0,5/8/2012
Nancy Drew The Deadly Device,1.63,1.85,320,256,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0,0,10/23/2012
Mystery Series: A Vampire Tale,,,,,0,0,0,0,0,0,3/30/2012
Murder Miners,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,9/9/2012
Natural Selection 2,2.53,2.265,1024,768,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,4.5 GB,4.5 GB,10/31/2012
Life Goes On,2.35,3.33,256,1024,2 GB,4 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,4/16/2014
Mutant Mudds,,,,,0,0,0,0,0,0,8/30/2012
Legions of Ashworld,1.63,2.1,320,640,1 GB,2 GB,Windows XP 32-bit,Windows XP 32-bit,0MB,0MB,7/4/2014
Legends of Persia,2.05,2.165,576,1024,1 GB,2 GB,Windows XP 32-bit,Windows 7 32-bit,20 GB,20 GB,6/3/2014
